Latitude,Longitude,Unnamed: 2,FECHA_FOSA,TIPO_FOSA,FECHA_INTERVENCION,TIPO_INTERVENCION,ComAutonom,NUMERO_REGISTRO,ENTIDAD_INFORMANTE,Municipio,ESTADO_ACTUAL,NUMERO_PERSONAS_EXHUMADAS,NUMERO_PERSONAS_FOSA,ENTIDAD_PROMOTORA,OBSERVACIONES,NUMERO_PERSONAS_IDENTIFICADAS,Provincia,name,URL
43.3870548,-6.074386,,,FUSILAMIENTO,,,Principado de Asturias,106/2009 ASTU,Principado de Asturias. Consejería de Bienestar Social y Vivienda.,Grado,NO INTERVENIDA,0.0,,,,0.0,Asturias,"""Fosa """"Las Coruxeras"""" en Grao capital, paseo paralelo al río""","https://15mpedia.org/wiki/Fosa_%22Las_Coruxeras%22_en_Grao_capital,_paseo_paralelo_al_r%C3%ADo_(106/2009_ASTU)"
36.431902,-5.4509174,,,,,,Andalucía,1922/2010 CADI,Consejería de Gobernación y Justicia de la Junta de Andalucía,Jimena de la Frontera,NO INTERVENIDA,4.0,4.0,,"En la localidad de Jimena de la frontera se ha podido localizar tres fosas. Una de ellas es esta, en la Cruz Blanca, en la que estarían enterradas cuatro personas.",4.0,Cádiz,"""Fosa de la """"Cruz Blanca""""""",https://15mpedia.org/wiki/Fosa_de_la_%22Cruz_Blanca%22_(1922/2010_CADI)
41.6171493,-0.2397116,,,,,,Aragón,693/2009 HUES,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte",Castejón de Monegros,NO INTERVENIDA,2.0,2.0,,"""La fosa se halla a varios kilómetros del pueblo de Castejón de Monegros, al borde de la """"pinada"""" del monte de Pina, muy cerca de las masadas de Blásez y de Jos Casanovas. Allí reposarían los restos de 2 sacerdotes asesinados en el verano de 1936. Durante muchos años estuvo señalizada por una cruz, pero en la actualidad la cruz ha desaparecido y sólo una pequeña piedra al borde de una charca indica el lugar del enterramiento.""",2.0,Huesca,"""Fosa de la """"masada de Blásez""""""",https://15mpedia.org/wiki/Fosa_de_la_%22masada_de_Bl%C3%A1sez%22_(693/2009_HUES)
41.2587485,-0.8710884,,,OTRO,,,Aragón,578/2009 ZARA,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte",Azuara,NO INTERVENIDA,,,,Mujer apaleada por otras mujeres en la trasera del cementerio en el camino que conducía a Belchite,,Zaragoza,"""Fosa de la """"Tía Platera""""""",https://15mpedia.org/wiki/Fosa_de_la_%22T%C3%ADa_Platera%22_(578/2009_ZARA)
43.3462533999999,-5.20579089999999,,,FUSILAMIENTO,,,Principado de Asturias,196/2009 ASTU,Principado de Asturias. Consejería de Bienestar Social y Vivienda.,Parres,NO INTERVENIDA,0.0,,,,0.0,Asturias,"""Fosa de la Morca, prado """"La Portiellina""""""","https://15mpedia.org/wiki/Fosa_de_la_Morca,_prado_%22La_Portiellina%22_(196/2009_ASTU)"
37.3890924,-5.9844589,,,,,,Andalucía,2184/2010 SEVI,Consejería de Gobernación y Justicia de la Junta de Andalucía,"Real de la Jara, El",DESAPARECIDA,1.0,1.0,AYUNTAMIENTO,"Se localizaba en el paraje llamado Puerto Jabato, entre una encina y la carretera. La víctima, no identificada, era un hombre huido. Sus restos fueron exhumados en los años 80 y depositados en un nicho del cementerio.",0.0,Sevilla,"""Fosa el paraje """"Puerto Jabato""""""",https://15mpedia.org/wiki/Fosa_el_paraje_%22Puerto_Jabato%22_(2184/2010_SEVI)
43.3870548,-6.074386,,,FUSILAMIENTO,,,Principado de Asturias,105/2009 ASTU,Principado de Asturias. Consejería de Bienestar Social y Vivienda.,Grado,NO INTERVENIDA,0.0,,,,0.0,Asturias,"""Fosa en """"El Bravón de la Fuente"""" (Cabruñana)""",https://15mpedia.org/wiki/Fosa_en_%22El_Brav%C3%B3n_de_la_Fuente%22_(Cabru%C3%B1ana)_(105/2009_ASTU)
41.1625242,-1.287298,,,FUSILAMIENTO,,,Aragón,1516/2009 ZARA,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte",Villadoz,EXHUMADA TOTAL,4.0,4.0,,"""Hace años fue levantada la fosa que contenía los restos de 4 vecinos del pueblo turolense de Santa Cruz de Noguera, asesinados en 1936 en el campo conocido como """"El Crespo"""". Las familias de las víctimas recuperaron sus restos y los trasladaron al cementerio de su localidad natal.""",4.0,Zaragoza,"""Fosa en """"El Crespo""""""",https://15mpedia.org/wiki/Fosa_en_%22El_Crespo%22_(1516/2009_ZARA)
36.2853497,-5.42028039999999,,,,,,Andalucía,1920/2010 CADI,Consejería de Gobernación y Justicia de la Junta de Andalucía,Castellar de la Frontera,NO INTERVENIDA,8.0,8.0,,"""Según la entidad informante, en esta localidad estaría localizada una fosa con al menos 8 víctimas. La fosa estaría ubicada en la dehesa """"El Olivar"""" , en el paraje denominado """"El Palancar"""".""",8.0,Cádiz,"""Fosa en """"El Palancar""""""",https://15mpedia.org/wiki/Fosa_en_%22El_Palancar%22_(1920/2010_CADI)
43.3870548,-6.074386,,,FUSILAMIENTO,,,Principado de Asturias,104/2009 ASTU,Principado de Asturias. Consejería de Bienestar Social y Vivienda.,Grado,NO INTERVENIDA,,1.0,,,,Asturias,"""Fosa en """"El Rodaco""""""",https://15mpedia.org/wiki/Fosa_en_%22El_Rodaco%22_(104/2009_ASTU)
43.3487455,-5.8653927,,,FUSILAMIENTO,,,Principado de Asturias,117/2009 ASTU,Principado de Asturias. Consejería de Bienestar Social y Vivienda.,"Regueras, Las",NO INTERVENIDA,0.0,,,,0.0,Asturias,"""Fosa en """"Las Ablanosas""""""",https://15mpedia.org/wiki/Fosa_en_%22Las_Ablanosas%22_(117/2009_ASTU)
40.7223398,-0.9970062,,,,,,Aragón,1676/2010 TERU,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte",Rillo,NO INTERVENIDA,3.0,,,"""Otra fosa de la localidad de Rillo estaría en el llamado """"huerto de Pepe"""", junto a la carretera de acceso al pueblo. Allí fueron enterrados tres soldados desconocidos, de los que nadie ha intentado recuperar sus cuerpos. El lugar, un corralillo de reducidas dimensiones, ya no se cultiva y permanece en estado de abandono y cubierto de hierbas.""",,Teruel,"""Fosa en el """"huerto de Pepe""""""",https://15mpedia.org/wiki/Fosa_en_el_%22huerto_de_Pepe%22_(1676/2010_TERU)
37.3890924,-5.9844589,,,,,,Andalucía,2181/2010 SEVI,Consejería de Gobernación y Justicia de la Junta de Andalucía,"Madroño, El",DESAPARECIDA,1.0,1.0,Familia,"""Una segunda fosa (fosa 2) se hallaba en el """"Barranco La Tubería"""", camino de Berrocal a orillas del río Tinto, cauce por donde corre un pequeño arroyo. En el mismo lugar de enterramiento fue asesinado José López Pérez en noviembre de 1936. Muerto en una de las numerosas batidas realizadas por los fascistas en estos parajes contra los grupos de familias huidas que se escondían por los montes.",1.0,Sevilla,"""Fosa en el Barranco de """"La Tubería""""""",https://15mpedia.org/wiki/Fosa_en_el_Barranco_de_%22La_Tuber%C3%ADa%22_(2181/2010_SEVI)
37.5414656,-5.0826742,,,,,,Andalucía,2439/2011 SEVI,Consejería de Gobernación y Justicia de la Junta de Andalucía,Ecija,NO INTERVENIDA,,,,"Testimonios orales situan una tercera fosa en Ecija, concretamente en el molino Castril Chico con víctimas de Fuentes de Andalucía. No se conoce la ubicación  con exactitud.",,Sevilla,"""Fosa en el molino """"Castril Chico""""""",
41.5415157,-4.7005972,,13188,,37975.0,EXCAVACIÓN,Castilla y León,103/2009 VALL,Asociación Recuperación Memoria Histórica de Valladolid,Boecillo,EXHUMADA TOTAL,2.0,2.0,ARMH VALLADOLID,"La fosa estaba localizada en el interior del pinar, en la zona conocida como La mata de las muertas. Se recuperaron los restos de dos mujeres de Tudela de Duero asesinadas el 2 de agosto de 1936.",2.0,Valladolid,"""Fosa en el paraje """"La mata de las muertas""""""",https://15mpedia.org/wiki/Fosa_en_el_paraje_%22La_mata_de_las_muertas%22_(103/2009_VALL)
41.5415157,-4.7005972,,13188,,37903.0,LOCALIZACIÓN,Castilla y León,103/2009 VALL,Asociación Recuperación Memoria Histórica de Valladolid,Boecillo,EXHUMADA TOTAL,2.0,2.0,ARMH VALLADOLID,"La fosa estaba localizada en el interior del pinar, en la zona conocida como La mata de las muertas. Se recuperaron los restos de dos mujeres de Tudela de Duero asesinadas el 2 de agosto de 1936.",2.0,Valladolid,"""Fosa en el paraje """"La mata de las muertas""""""",https://15mpedia.org/wiki/Fosa_en_el_paraje_%22La_mata_de_las_muertas%22_(103/2009_VALL)
36.9352388,-5.25995549999999,,,,,,Andalucía,1882/2010 CADI,Consejería de Gobernación y Justicia de la Junta de Andalucía,Olvera,NO INTERVENIDA,,,,"""En el término municipal de Olvera, dentro de la finca La Laina, en el paraje conocido como """"Los toriles"""", existe una fosa común con un número indeterminado de víctimas.""",,Cádiz,"""Fosa en el paraje """"Los Toriles""""""",https://15mpedia.org/wiki/Fosa_en_el_paraje_%22Los_Toriles%22_(1882/2010_CADI)
36.701365,-5.4220326,,,,,,Andalucía,1874/2010 CADI,Consejería de Gobernación y Justicia de la Junta de Andalucía,Benaocaz,NO INTERVENIDA,,,,"Según los testimonios recogidos, dentro del término municipal de Benaocaz existiría una fosa común en el paraje conocido como la Manga de Villaluenga con tres víctimas.",,Cádiz,"""Fosa en el paraje """"Manga de Villaluenga""""""",https://15mpedia.org/wiki/Fosa_en_el_paraje_%22Manga_de_Villaluenga%22_(1874/2010_CADI)
36.828836,-4.5411443,,,FUSILAMIENTO,,,Andalucía,1750/2010 MALA,Consejería de Gobernación y Justicia de la Junta de Andalucía,Almogía,EXHUMADA TOTAL,,,,"En los mese previos a la caída del pueblo se vivien en el mismo momentos de gran tensión y represión provocadas por las patrullas de la FAI que ajustician a una decena de personas. El 6 de febrero de1937 entran en el pueblo las tropas italianas al mando del coronel Rivolta. Es a partir de 1 de marzo siguiente cuando empieza la represión, una vez constituida la Comisión Gestora del municipio.",,Málaga,"""Fosa en el paraje de """"El Campillo""""""",https://15mpedia.org/wiki/Fosa_en_el_paraje_de_%22El_Campillo%22_(1750/2010_MALA)
36.828836,-4.5411443,,,FUSILAMIENTO,,,Andalucía,1757/2010 MALA,Consejería de Gobernación y Justicia de la Junta de Andalucía,Almogía,EXHUMADA TOTAL,,,,"En los mese previos a la caída del pueblo se vivien en el mismo momentos de gran tensión y represión provocadas por las patrullas de la FAI que ajustician a una decena de personas. El 6 de febrero de1937 entran en el pueblo las tropas italianas al mando del coronel Rivolta. Es a partir de 1 de marzo siguiente cuando empieza la represión, una vez constituida la Comisión Gestora del municipio.",,Málaga,"""Fosa en el paraje de """"El Campillo""""""",https://15mpedia.org/wiki/Fosa_en_el_paraje_de_%22El_Campillo%22_(1757/2010_MALA)
36.828836,-4.5411443,,,FUSILAMIENTO,,,Andalucía,1749/2010 MALA,Consejería de Gobernación y Justicia de la Junta de Andalucía,Almogía,EXHUMADA TOTAL,,,,"En los mese previos a la caída del pueblo se vivien en el mismo momentos de gran tensión y represión provocadas por las patrullas de la FAI que ajustician a una decena de personas. El 6 de febrero de1937 entran en el pueblo las tropas italianas al mando del coronel Rivolta. Es a partir de 1 de marzo siguiente cuando empieza la represión, una vez constituida la Comisión Gestora del municipio.",,Málaga,"""Fosa en el paraje de """"El Campillo""""""",https://15mpedia.org/wiki/Fosa_en_el_paraje_de_%22El_Campillo%22_(1749/2010_MALA)
36.828836,-4.5411443,,,FUSILAMIENTO,,,Andalucía,1753/2010 MALA,Consejería de Gobernación y Justicia de la Junta de Andalucía,Almogía,EXHUMADA TOTAL,,,,"En los mese previos a la caída del pueblo se vivien en el mismo momentos de gran tensión y represión provocadas por las patrullas de la FAI que ajustician a una decena de personas. El 6 de febrero de1937 entran en el pueblo las tropas italianas al mando del coronel Rivolta. Es a partir de 1 de marzo siguiente cuando empieza la represión, una vez constituida la Comisión Gestora del municipio.",,Málaga,"""Fosa en el paraje de """"El Campillo""""""",https://15mpedia.org/wiki/Fosa_en_el_paraje_de_%22El_Campillo%22_(1753/2010_MALA)
36.828836,-4.5411443,,,FUSILAMIENTO,,,Andalucía,1752/2010 MALA,Consejería de Gobernación y Justicia de la Junta de Andalucía,Almogía,EXHUMADA TOTAL,,,,"En los mese previos a la caída del pueblo se vivien en el mismo momentos de gran tensión y represión provocadas por las patrullas de la FAI que ajustician a una decena de personas. El 6 de febrero de1937 entran en el pueblo las tropas italianas al mando del coronel Rivolta. Es a partir de 1 de marzo siguiente cuando empieza la represión, una vez constituida la Comisión Gestora del municipio.",,Málaga,"""Fosa en el paraje de """"El Campillo""""""",https://15mpedia.org/wiki/Fosa_en_el_paraje_de_%22El_Campillo%22_(1752/2010_MALA)
36.828836,-4.5411443,,,FUSILAMIENTO,,,Andalucía,1751/2010 MALA,Consejería de Gobernación y Justicia de la Junta de Andalucía,Almogía,EXHUMADA TOTAL,,,,"En los mese previos a la caída del pueblo se vivien en el mismo momentos de gran tensión y represión provocadas por las patrullas de la FAI que ajustician a una decena de personas. El 6 de febrero de1937 entran en el pueblo las tropas italianas al mando del coronel Rivolta. Es a partir de 1 de marzo siguiente cuando empieza la represión, una vez constituida la Comisión Gestora del municipio.",,Málaga,"""Fosa en el paraje de """"El Campillo""""""",https://15mpedia.org/wiki/Fosa_en_el_paraje_de_%22El_Campillo%22_(1751/2010_MALA)
36.828836,-4.5411443,,,FUSILAMIENTO,,,Andalucía,1754/2010 MALA,Consejería de Gobernación y Justicia de la Junta de Andalucía,Almogía,EXHUMADA TOTAL,,,,"En los mese previos a la caída del pueblo se vivien en el mismo momentos de gran tensión y represión provocadas por las patrullas de la FAI que ajustician a una decena de personas. El 6 de febrero de1937 entran en el pueblo las tropas italianas al mando del coronel Rivolta. Es a partir de 1 de marzo siguiente cuando empieza la represión, una vez constituida la Comisión Gestora del municipio.",,Málaga,"""Fosa en el paraje de """"El Campillo""""""",https://15mpedia.org/wiki/Fosa_en_el_paraje_de_%22El_Campillo%22_(1754/2010_MALA)
36.828836,-4.5411443,,,FUSILAMIENTO,,,Andalucía,1755/2010 MALA,Consejería de Gobernación y Justicia de la Junta de Andalucía,Almogía,EXHUMADA TOTAL,,,,"En los mese previos a la caída del pueblo se vivien en el mismo momentos de gran tensión y represión provocadas por las patrullas de la FAI que ajustician a una decena de personas. El 6 de febrero de1937 entran en el pueblo las tropas italianas al mando del coronel Rivolta. Es a partir de 1 de marzo siguiente cuando empieza la represión, una vez constituida la Comisión Gestora del municipio.",,Málaga,"""Fosa en el paraje de """"El Campillo""""""",https://15mpedia.org/wiki/Fosa_en_el_paraje_de_%22El_Campillo%22_(1755/2010_MALA)
36.828836,-4.5411443,,,FUSILAMIENTO,,,Andalucía,1756/2010 MALA,Consejería de Gobernación y Justicia de la Junta de Andalucía,Almogía,EXHUMADA TOTAL,,,,"En los mese previos a la caída del pueblo se vivien en el mismo momentos de gran tensión y represión provocadas por las patrullas de la FAI que ajustician a una decena de personas. El 6 de febrero de1937 entran en el pueblo las tropas italianas al mando del coronel Rivolta. Es a partir de 1 de marzo siguiente cuando empieza la represión, una vez constituida la Comisión Gestora del municipio.",,Málaga,"""Fosa en el paraje de """"El Campillo""""""",https://15mpedia.org/wiki/Fosa_en_el_paraje_de_%22El_Campillo%22_(1756/2010_MALA)
38.037553,-5.7135299,,13371,FUSILAMIENTO,,,Andalucía,530/2009 SEVI,Consejería de Gobernación y Justicia de la Junta de Andalucía,Alanís,DESAPARECIDA,14.0,14.0,,"""Informada por Guillermo Doctor Flores, testigo presencial de su existencia, se localiza en la finca Los Coscojales, en la carretera Alanís, San Nicolás del Puerto S162, Km. 17. Se ubica justo en el límite entre el término municipal de Alanís y San ",14.0,Sevilla,"""Fosa en la finca """"Los Coscojales""""""",https://15mpedia.org/wiki/Fosa_en_la_finca_%22Los_Coscojales%22_(530/2009_SEVI)
43.5322015,-5.6611195,,,FUSILAMIENTO,,,Principado de Asturias,78/2009 ASTU,Principado de Asturias. Consejería de Bienestar Social y Vivienda.,Gijón,EXHUMADA TOTAL,,1.0,,,,Asturias,"""Fosa en la Finca El CantónSerín (barrio """"El Gallinal"""")""",https://15mpedia.org/wiki/Fosa_en_la_Finca_El_Cant%C3%B3nSer%C3%ADn_(barrio_%22El_Gallinal%22)_(78/2009_ASTU)
43.3193694,-5.57222969999999,,14095,FUSILAMIENTO,,,Principado de Asturias,29/2009 ASTU,Principado de Asturias. Consejería de Bienestar Social y Vivienda.,Bimenes,EXHUMADA TOTAL,1.0,1.0,,Los restos han sido trasladados al cementerio de San Julián de Bimenes.,,Asturias,"""Fosa en La Llomba, Prado """"Los Ferrandos""""""","https://15mpedia.org/wiki/Fosa_en_La_Llomba,_Prado_%22Los_Ferrandos%22_(29/2009_ASTU)"
37.2869036,-3.880361,,,,,,Andalucía,2458/2011 GRAN,Consejería de Gobernación y Justicia de la Junta de Andalucía,Illora,DESAPARECIDA,,,,"""Tocón, en el lugar conocido por el nombre de Fuente del Chorro, a 20 o 30 metros, junto a la carretera. ",,Granada,"""Fosa en Tocón """"Fuente del Chorro""""""",
37.2869036,-3.880361,,,,,,Andalucía,2459/2011 GRAN,Consejería de Gobernación y Justicia de la Junta de Andalucía,Illora,NO INTERVENIDA,,,,"""Tocón, en un lugar conocido por Puente de Juan de Arcos. La fosa se encuentra en un terreno privado, junto a la carretera, el emplazamiento ha cambiado con el paso del tiempo, con la abertura de un carril de paso, y la zona es ahora una era.",,Granada,"""Fosa en Tocón """"Puente de Juan de Arcos""""""",
41.6488226,-0.8890853,,,EJECUCION,,,Aragón,568/2009 ZARA,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte",Zaragoza,EXHUMADA TOTAL,0.0,101.0,,"""En un campo adyacente al cementerio se encontrarían los restos de más de cien personas ejecutadas en las tapias del mismo durante la guerra. Esa zona se conoció como el """"Campo de los Muertos"""". El campo fue levantado en los años 40 por estar a la vista restos de cadáveres amontonados. Algunas de las víctimas fueron recogidas y enterradas en fosas existentes en el interior del recinto. No se puede precisar ni siquiera un número aproximado de víctimas, estando identificadas 101.""",101.0,Zaragoza,"""Fosas del """"Campo de los Muertos"""" en Movera""",https://15mpedia.org/wiki/Fosas_del_%22Campo_de_los_Muertos%22_en_Movera_(568/2009_ZARA)
43.1497019,-5.6878736,,,FUSILAMIENTO,,,Principado de Asturias,11/2009 ASTU,Principado de Asturias. Consejería de Bienestar Social y Vivienda.,Aller,NO INTERVENIDA,0.0,,,Número indeterminado de víctimas,0.0,Asturias,"2 fosas en  Prau Llerón (Los Estrullones, AS-112, entre los Kms 12 y13 frente a la fosa de la mina Peregrina)","https://15mpedia.org/wiki/2_fosas_en_Prau_Ller%C3%B3n_(Los_Estrullones,_AS-112,_entre_los_Kms_12_y13_frente_a_la_fosa_de_la_mina_Peregrina)_(11/2009_ASTU)"
42.1169172,-0.9492193,,,FUSILAMIENTO,,,Aragón,620/2009 ZARA,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte",Erla,NO INTERVENIDA,71.0,,,"Existen dos fosas contiguas dignificadas con un monumento y placa que recuerda a las 71 víctimas allí inhumadas. 26 vecinos de Alagón,20 de Erla, 17 de Ejea de los Caballeros y Farasdués, 1 de Asín y 7 de las Pedrosas.",0.0,Zaragoza,2 Fosas en el cementerio de Erla,https://15mpedia.org/wiki/2_Fosas_en_el_cementerio_de_Erla_(620/2009_ZARA)
43.1497019,-5.6878736,,,FUSILAMIENTO,,,Principado de Asturias,6/2009 ASTU,Principado de Asturias. Consejería de Bienestar Social y Vivienda.,Aller,NO INTERVENIDA,2.0,2.0,,,2.0,Asturias,"3 Fosas en la carretera AS-252, entre los Kms 15 y 16","https://15mpedia.org/wiki/3_Fosas_en_la_carretera_AS-252,_entre_los_Kms_15_y_16_(6/2009_ASTU)"
37.3890924,-5.9844589,,,OTRO,,,Andalucía,528/2009 SEVI,Consejería de Gobernación y Justicia de la Junta de Andalucía,Sevilla,NO INTERVENIDA,4000.0,,,"""En el cementerio de San Fernando de Sevilla se tiene referencia de cinco fosas comunes o zonas donde fueron enterradas muchas de las víctimas de la represión franquista desde julio de 1936 a enero de 1953, cuando se producen las últimas ejecuciones. A estas víctimas se unen los muertos que procedían de prisión o de campos de concentración, por lo que se habla de unas 4.000 víctimas. Una de las fosas más grandes sería la llamada Fosa de los Alpargateros, por el pasillo central desde la entrada, en lo que era el final del antiguo cementerio sobre su superficie se construyeron nichos y en 2003 se instaló un monolito de dignificación. La segunda fosa es la conocida como la del Campo de futbol, situada en una explanada con césped y sin construcciones encima. La tercera se encuentra tras la tumba de Diego Martinez Barrio, donde fueron inhumados en 1949 varios miembros del partido Comunista. La cuarta fosa está entrando por la puerta principal a la izquierda, cerca del mausoleo de Joselito. La quinta es la conocida como Fosa del Triángulo, sobre la que hay un pequeño jardín con setos y árboles.""",,Sevilla,5 fosas en el Cementerio de San Fernando de Sevilla,https://15mpedia.org/wiki/5_fosas_en_el_Cementerio_de_San_Fernando_de_Sevilla_(528/2009_SEVI)
37.5138455,-4.6566596,,,REPRESALIA EN RETAGUARDIA,40282.0,EXCAVACIÓN,Andalucía,2157/2010 CORD,Asociación para la Recuperación de la Memoria Histórica de Aguilar de la Frontera,Aguilar de la Frontera,EXHUMADA TOTAL,65.0,4.0,Familiares / Asociación para la Recuperación de la Memoria Histórica de Aguilar de la Frontera,"""Desde mayo de 2010 se desarrollan trabajos de exhumación de fosas comunes en el cementerio de Aguilar de la Frontera. En una primera fase, se han excavado nueve fosas comunes en la zona próxima a la entrada del recinto, recuperándose los restos de 55 víctimas con evidentes signos de violencia, que fueron arrojadas en nichos de ladrillo abiertos en el suelo del cementerio de 2'20 metros de largo, 60 centímetros de ancho y 3 metros de profundidad. Allí apiñaron numerosos cadáveres y más tarde, por encima de estas víctimas, se realizaron enterramientos legales. Sobre una parte de estos enterramientos se construyó un mausoleo en los años 50, recientemente se ha podido intervenir bajo el mismo y se han exhumado otros 10 cuerpos. De los restos exhumados se han identificado cuatro de las víctimas que han sido entregadas a sus familias. ",4.0,Córdoba,9 Fosas comunes a la entrada del Cementerio,https://15mpedia.org/wiki/9_Fosas_comunes_a_la_entrada_del_Cementerio_(2157/2010_CORD)
42.224658,-0.4036293,,,,,,Aragón,1272/2009 HUES,Patrimonio Nacional,Huesca,TRASLADADA AL VALLE DE LOS CAÍDOS,82.0,82.0,,Trasladada al Valle de los Caídos con la fecha/s:24/03/1964,0.0,Huesca,Apiés,https://15mpedia.org/wiki/Api%C3%A9s_(1272/2009_HUES)
42.3720357,1.605217,,,,,,Cataluña,1252/2009 LERI,Patrimonio Nacional,"Pont de Bar, El",TRASLADADA AL VALLE DE LOS CAÍDOS,77.0,77.0,,Trasladada al Valle de los Caídos con la fecha/s:19/11/1962,22.0,Lleida,Aristot,https://15mpedia.org/wiki/Aristot_(1252/2009_LERI)
42.7760437,-2.1155691,,,,,,Comunidad Foral de Navarra,2609/2015 NAVA,"Gobierno de Navarra. Departamento de Presidencia, Justicia e Interior.",Améscoa Baja,,1.0,1.0,,"En la parte más agreste del sur de la Sierra Urbasa, Ubaba o Balcón de Pilatos es un lugar emblemático por sus preciosas vistas sobre las Améscoas. A los pies de este majestuoso lugar nace el río Urederra. Este lugar de la sierra de Urbasa, junto con varias simas que salpican la geografía de esta formación kárstica, fue el escenario de varios asesinatos. Aunque se desconoce con exactitud la frecuencia de los asesinatos",1.0,Navarra,Balcón de Pilatos,
